comicID,title,issueNumber
68656,Infinity Countdown (2018) #5,5
67907,Cable (2017) #159,159
69111,Ms. Marvel Vol. 9: Teenage Wasteland (Trade Paperback),0
70944,True Believers: Fantastic Four by John Byrne (2018) #1,1
69555,Star Wars (2015) #51,51
68759,Star Wars: Journey To Star Wars: The Last Jedi - Captain Phasma (Hardcover),0
69419,Runaways (2017) #11,11
68592,Hunt for Wolverine: Claws of a Killer (2018) #3,3
69036,Marvel Super Hero Adventures: Ms. Marvel and the Teleporting Dog (2018) #1,1
69616,Star Wars: Poe Dameron (2016) #29,29
70080,Weapon H (2018) #5,5
67134,Immortal Hulk (2018) #3,3
68715,Invincible Iron Man: The Search For Tony Stark (Trade Paperback),0
73623,Cloak and Dagger - Marvel Digital Original (2018) #1,1
69221,Old Man Hawkeye (2018) #7,7
68135,Darth Vader Annual (2015) #2,2
70248,X-Men: Red (2018) #6,6
69279,Peter Parker: The Spectacular Spider-Man (2017) #307,307
69462,Skaar: Son Of Hulk - The Complete Collection (Trade Paperback),0
73709,Ms. Marvel (2018) #2,2
70941,True Believers: Fantastic Four - Hulk Vs. Thing (2018) #1,1
67982,Champions (2016) #22,22
69114,Ms. Marvel (2015) #32,32
69592,Star Wars: Doctor Aphra Vol. 3: Remastered (Trade Paperback),3
68584,Hunt for Wolverine: Adamantium Agenda (2018) #3,3
72794,True Believers: Fantastic Four - Marvel Two-In-One (2018) #1,1
67622,All-New Wolverine Vol. 6: Old Woman Laura (Trade Paperback),0
70149,Wolverine: Old Man Logan Vol. 7 - Scarlet Samurai (Trade Paperback),0
70218,X-Men: Blue (2017) #31,31
69374,Quicksilver: No Surrender (2018) #3,3
68331,Domino (2018) #4,4
69620,Star Wars: Rogue One Adaptation (Hardcover),0
70938,True Believers: Fantastic Four Vs. Doctor Doom (2018) #1,1
67942,Captain America Epic Collection: Hero or Hoax? (Trade Paperback),0
67538,Old Man Logan (2016) #43,43
68358,Exiles (2018) #5,5
69633,Star Wars: Thrawn (2018) #6,6
69214,Nova by Abnett & Lanning: The Complete Collection Vol. 1 (Trade Paperback),0
68960,Marvel Masterworks: Captain America Vol. 10 (Hardcover),0
70942,True Believers: Fantastic Four - Galactus Hungers (2018) #1,1
70155,X-23 (2018) #1,1
69937,Thor by Walter Simonson Vol. 4 (Trade Paperback),0
68267,Despicable Deadpool Vol. 3: The Marvel Universe Kills Deadpool (Trade Paperback),0
68100,Daredevil (2015) #605,605
68146,Deadpool: Assassin (2018) #3,3
68669,Infinity Countdown: Darkhawk (2018) #4,4
67692,Amazing Spider-Man: Renew Your Vows (2016) #21,21
68121,Darth Vader (2017) #18,18
69852,The Punisher (2016) #227,227
69148,New Mutants: Dead Souls (2018) #5,5
67631,The Amazing Spider-Man (2018) #1,1
69902,The Unbeatable Squirrel Girl (2015) #34,34
71526,Marvel Universe Ultimate Spider-Man: Spider-Verse (2018) #8,8
73708,Ms. Marvel (2018) #1,1
68321,"Doctor Strange, Sorcerer Supreme Omnibus Vol. 2 (Hardcover)",0
67702,Ant-Man & the Wasp (2018) #3,3
69523,Star Wars Vol. 3 (Hardcover),0
69030,Marvel Rising: Squirrel Girl/Ms. Marvel (2018) #1,1
69627,Star Wars: The Last Jedi Adaptation (2018) #4,4
69055,Marvel's Ant-Man And The Wasp: The Art Of The Movie (Hardcover),0
68663,Infinity Countdown: Champions (2018) #2,2
68397,Generations (Trade Paperback),0
67999,Cloak and Dagger (2018) #2,2
69365,Punisher: Shadowmasters (Trade Paperback),0
67799,Avengers By Jonathan Hickman Omnibus Vol. 2 (Hardcover),0
68250,Death of Inhumans (2018) #1,1
68618,Immortal Hulk (2018) #2,2
68606,Hunt for Wolverine: Weapon Lost (2018) #3,3
70940,True Believers: Fantastic Four - The Wedding of Reed & Sue (2018) #1,1
67917,Captain America (2018) #1,1
67841,Ben Reilly: Scarlet Spider (2017) #21,21
70234,X-Men: Gold (2017) #31,31
70091,Weapon X (2017) #20,20
68145,Deadpool (2018) #2,2
67319,Cosmic Ghost Rider (2018) #1,1
67716,Astonishing X-Men (2017) #13,13
68295,Doctor Strange (2018) #3,3
68325,Doctor Strange: Damnation - The Complete Collection (Trade Paperback),0
69490,Spider-Man/Deadpool (2016) #35,35
69416,Rogue & Gambit: Ring Of Fire (Trade Paperback),0
65303,Spider-Man/Deadpool (2016) #25,25
62232,Thanos Vol. 2: The God Quarry (Trade Paperback),0
65813,True Believers: Phoenix - What If? (2017) #1,1
62191,Moon Girl and Devil Dinosaur Vol. 4: Girl-Moon (Trade Paperback),0
65277,Despicable Deadpool (2017) #291,291
65266,Ben Reilly: Scarlet Spider (2017) #12,12
65815,True Believers: Phoenix Origins (2017) #1,1
65288,Invincible Iron Man (2016) #595,595
65331,Doctor Strange: Lords of Fear (Trade Paperback),0
65300,Secret Warriors  (2017) #11,11
65320,Black Panther - Long Live the King (2017) #2,2
65808,True Believers: Death of Phoenix (2017) #1,1
49113,Punisher: The Platoon (2017) #4,4
65333,Marvel Mangaverse: The Complete Collection (Trade Paperback),0
62137,Doctor Strange Vol. 4: Mr. Misery (Trade Paperback),0
65268,Black Panther (2016) #168,168
65326,Avengers: Tales to Astonish (Trade Paperback),0
65307,Star Wars: Jedi of the Republic â€“ Mace Windu (2017) #5,5
65363,Marvel Universe Avengers: Ultron Revolution (2017) #8,8
62156,"Gwenpool, the Unbelievable Vol. 4: Beyond the Fourth Wall (Trade Paperback)",0
65812,True Believers: Phoenix Presents the Wedding of Scott Summers & Jean Grey (2017) #1,1
65306,Star Wars: Doctor Aphra (2016) #15,15
65293,Mighty Thor (2015) #702,702
61124,Monsters Unleashed (Trade Paperback),0
65308,Star Wars: Poe Dameron (2016) #22,22
65281,Generation X (2017) #85,85
65295,Peter Parker: The Spectacular Spider-Man (2017) #298,298
65313,Venom (2016) #159,159
65746,Spider-Man: Brand New Day - The Complete Collection Vol. 4 (Trade Paperback),0
